user_id,username,password_hash,role
1,admin_anna,hash1,admin
2,staff_brian,hash2,staff
3,admin_carla,hash3,admin
4,staff_derek,hash4,staff
5,admin_elaine,hash5,admin
6,staff_frank,hash6,staff
7,admin_george,hash7,admin
8,staff_helen,hash8,staff
9,admin_ian,hash9,admin
10,staff_judy,hash10,staff
11,admin_kevin,hash11,admin
12,staff_laura,hash12,staff
13,admin_mike,hash13,admin
14,staff_nina,hash14,staff
15,admin_oliver,hash15,admin
16,staff_pam,hash16,staff
17,admin_quincy,hash17,admin
18,staff_rachel,hash18,staff
19,admin_sam,hash19,admin
20,staff_tina,hash20,staff
21,admin_ursula,hash21,admin
22,staff_vince,hash22,staff
23,admin_walter,hash23,admin
24,staff_xena,hash24,staff
25,admin_yara,hash25,admin
26,staff_zack,hash26,staff
27,admin_aaron,hash27,admin
28,staff_betty,hash28,staff
29,admin_curtis,hash29,admin
30,staff_diana,hash30,staff
